glossaryID,use glossaryID,glossary term,,New term,termDefinition,courseID,courseName
221,,AAAAAAAA delete,,,delete this,N	N,
227,,AAAAAAAA delete,,,delete this,N	N,
592,,Abortifacient,,,Causing an abortion,68,Family Planning 101
1237,592,Abortifacient,,,Causing an abortion,98,Postabortion Care (PAC)
243,,Abortion,,,"The termination of a pregnancy, including both spontaneous and induced abortion",N	N,
1228,,Abortion,,,"The loss or termination of pregnancy, i.e., spontaneous abortion (miscarriage) or induced abortion",98,Postabortion Care (PAC)
420,,Abortion as a method of family planning,,,"For the purpose of spacing births. This includes, but is not limited to, abortions performed for the physical or mental health of the mother. It does not include abortions performed if the life of the mother would be endangered if the fetus were carried to term, or abortions performed following rape or incest.
*Refer to the Mexico City Policy for complete definitions.",39,Family Planning Legislative & Policy Requirements
1129,,Abortion as a method of family planning,,,"For the purpose of spacing births. This includes, but is not limited to, abortions performed for the physical or mental health of the mother. It does not include abortions performed if the life of the mother would be endangered if the fetus were carried to term, or abortions performed following rape or incest.
",N	N,
68,,Abruptio placenta,,,Detachment of a normally located placenta from the uterus before the fetus is delivered,10,Antenatal Care
623,68,Abruptio placenta,,,Detachment  of a normally located placenta from the uterus before the fetus is delivered,62,Mother-to-Child Transmission of HIV
820,,Abruptio placenta,,,Detachment of a normally located placenta from the uterus before the fetus is delivered,N	N,
856,,Abruptio placenta,,,Detachment of a normally located placenta from the uterus before the fetus is delivered,N	N,
1476,68,Abruptio placenta,,,Detachment of a normally located placenta from the uterus before the fetus is delivered,113,Antenatal COPY
2169,,Abruptio placenta,,,Detachment of a normally located placenta from the uterus before the fetus is delivered,N	N,
495,1130,Acceptor,,,An acceptor is a family planning client who accepts to use a family planning method.,39,Family Planning Legislative & Policy Requirements
1130,,Acceptor,,,An acceptor is a family planning client who accepts to use a family planning method.,99,FP Legislative & Policy Requirements (Updated)
2376,1130,Acceptor,,,An acceptor is a family planning client who accepts to use a family planning method.,132,US FP Requirements and Abortion Restrictions-2011
2732,,Access,,,"Access to services means the degree to which services can be obtained within the cost and effort limits that are acceptable to the general population. Even motivated clients can have their access blocked by medical and other barriers, such as cost, distance and social/cultural barriers. Service programs must go beyond making services merely available – that is, merely ensuring there is a supply of contraceptives in clinics with counselors and other service providers present to help clients choose and receive their method of choice. Service programs must also make sure that services are also assessable by identifying and reducing or eliminating barriers such as cost, distance and social/cultural concerns. ",121,LA/PMs - A Smart FP/RH Program Investment
2898,,Access,,,"Access to services means the degree to which services can be obtained within the cost and effort limits that are acceptable to the general population. Even motivated clients can have their access blocked by medical and other barriers, such as cost, distance and social/cultural barriers. Service programs must go beyond making services merely available – that is, merely ensuring there is a supply of contraceptives in clinics with counselors and other service providers present to help clients choose and receive their method of choice. Service programs must also make sure that services are also assessable by identifying and reducing or eliminating barriers such as cost, distance and social/cultural concerns. ",N	N,
333,,Accreditation,,,Approval of an educational program or an institution by a governmental or voluntary body (Source: World Health Organization),44,Human Resources for Health
1156,333,Accreditation,,,Approval of an educational program or an institution by a governmental or voluntary body.,103,Human Resources for Health (HRH) Basics 
1295,,Accreditation ,,Accreditation Program,"Usually a voluntary program, sponsored by a non-governmental agency, in which trained external peer reviewers evaluate a healthcare organization's compliance with pre-established performance standards",76,Commercial Private Health Sector Basics
2314,2583,Accuracy,,,The condition of a system or set of data that has minimal errors or bias.,125,Mortality Surveillance Methods and Strategies
2545,,Accuracy,,,The condition of a system or set of data that has minimal errors or bias.,N	N,
2583,,Accuracy,,,"Inadequately trained workers or varied data collection strategies can affect the accuracy of the data.  It is also important to get the causes of death correct.  For example, men dying from maternal causes or infants dying from heart disease are not accurate causes of death.",136,Mortality Surveillance Methods & Strategies
6,,Acid-fast bacilli (AFB),,,"Organisms that retain certain stains, such as Ziehl-Neelsen, even after being washed with acid. Most acid-fast organisms are mycobacteria, such as Mycobacterium tuberculosis. When seen on a stained smear of sputum, a diagnosis of tuberculosis should be considered.",N	N,
892,,Acid-fast bacilli (AFB),,,"Organisms that retain certain stains, such as Ziehl-Neelsen, even after being washed with acid. Most acid-fast organisms are mycobacteria, such as Mycobacterium tuberculosis. When seen on a stained smear of sputum, a diagnosis of tuberculosis should be considered.",90,Tuberculosis Basics (Updated)
951,892,Acid-fast bacilli (AFB),,,"Organisms that retain certain stains, such as Ziehl-Neelsen, even after being washed with acid. Most acid-fast organisms are mycobacteria, such as Mycobacterium tuberculosis. When seen on a stained smear of sputum, a diagnosis of tuberculosis should be considered.",91,Tuberculosis – Advanced Concepts
721,,ACSM,,,"Advocacy, Communication, and Social Mobilization Working Group",N	N,
893,,ACSM,,,"Advocacy, Communication, and Social Mobilization Working Group",90,Tuberculosis Basics (Updated)
952,893,ACSM,,,"Advocacy, Communication, and Social Mobilization Working Group",91,Tuberculosis – Advanced Concepts
7,,Active TB (Case),,,"A person develops active TB when the latent (dormant) TB bacillus becomes active in the body. Persons with active TB disease develop TB symptoms, become sick, and require treatment. Persons who develop active TB disease in the lungs or throat are infectious and may spread TB to others.",N	N,
894,,Active TB (case),,,"A person develops active TB when the latent (dormant) TB bacillus becomes active in the body. Persons with active TB disease develop TB symptoms, become sick, and require treatment. Persons who develop active TB disease in the lungs or throat are infectious and may spread TB to others.",90,Tuberculosis Basics (Updated)
953,894,Active TB (Case),,,"A person develops active TB when the latent (dormant) TB bacillus becomes active in the body. Persons with active TB disease develop TB symptoms, become sick, and require treatment. Persons who develop active TB disease in the lungs or throat are infectious and may spread TB to others.",91,Tuberculosis – Advanced Concepts
421,,Actively promote abortion,,,"To commit resources, financial or other, in a substantial or continuing effort to increase the availability or use of abortion as a method of family planning. This may include counseling, referring, lobbying, and conducting public information campaigns.
*Refer to the Mexico City Policy for complete definitions.",39,Family Planning Legislative & Policy Requirements
1131,,Actively promote abortion,,,"To commit resources, financial or other, in a substantial or continuing effort to increase the availability or use of abortion as a method of family planning. This may include counseling, referring, lobbying, and conducting public information campaigns.
*Refer to the Mexico City Policy for complete definitions.",N	N,
2414,,Activity,,,A specific event or action.,110,Social and Behavior Change Communication
2968,,Activity,,Activity - M&E,"Actions taken to produce specific outputs from inputs such as funds, technical assistance, and other resources.",142,"M&E Guidelines for SWs, MSM, & TG-Service Delivery"
1108,,Acute renal failure,,,Rapid loss of kidney function,87,Malaria in Pregnancy
2756,1180,Acute renal failure,,,Rapid loss of kidney function,140,Malaria in Pregnancy (Updated)
98,,Adjustments,,,"Changes made in recorded levels of a product when quantities are issued to or received from other facilities at the same level of the pipeline. Also sometimes used to explain administrative changes, for example, counting stock and finding a different amount than the quantity listed on bin cards. ",9,Logistics for Health Commodities
3043,98,Adjustments,,,"Changes made in recorded levels of a product when quantities are issued to or received from other facilities at the same level of the pipeline. Also sometimes used to explain administrative changes, for example, counting stock and finding a different amount than the quantity listed on bin cards. ",145,Logistics Revision
793,,Administrative Control Measures,,,Administrative control measures (policies and work practices) have the greatest impact on preventing TB transmission. They serve as the first line of defense for preventing the spread of TB in health care settings. The goal of administrative controls measures is to prevent TB exposure to staff and patients and reduce the spread of infection by ensuring appropriate diagnostic investigation and treatment for patients and staff suspected or known to have TB. ,N	N,
895,,Administrative control measures,,,Administrative control measures (policies and work practices) have the greatest impact on preventing TB transmission. They serve as the first line of defense for preventing the spread of TB in health care settings. The goal of administrative controls measures is to prevent TB exposure to staff and patients and reduce the spread of infection by ensuring appropriate diagnostic investigation and treatment for patients and staff suspected or known to have TB. ,90,Tuberculosis Basics (Updated)
954,895,Administrative Control Measures,,,Administrative control measures (policies and work practices) have the greatest impact on preventing TB transmission. They serve as the first line of defense for preventing the spread of TB in health care settings. The goal of administrative controls measures is to prevent TB exposure to staff and patients and reduce the spread of infection by ensuring appropriate diagnostic investigation and treatment for patients and staff suspected or known to have TB. ,91,Tuberculosis – Advanced Concepts
2415,,Advocacy,,Advocacy for SBCC,Individual or collective action directed at influencing or changing policies and practices. This is one of the three key strategies for SBCC in C-Change's SBCC Framework.,110,Social and Behavior Change Communication
2738,,Advocacy,,,"Advocacy is a set of strategic actions carried out by individuals and/or groups committed to a common cause, to influence specific policies, programs, legislation, and/or the allocation of resources in a way that is favorable to their cause (Assessment Guide, EH 2011; Sprechmann & Pelton, 2001; WHO & USAID, 2008 ). ",121,LA/PMs - A Smart FP/RH Program Investment
2899,2738,Advocacy,,,"Advocacy is a set of strategic actions carried out by individuals and/or groups committed to a common cause, to influence specific policies, programs, legislation, and/or the allocation of resources in a way that is favorable to their cause (Assessment Guide, EH 2011; Sprechmann & Pelton, 2001; WHO & USAID, 2008 ). ",N	N,
39,,Aeras Global TB Vaccine Foundation,,,"Formally known as the Sequella Global Tuberculosis Foundation, now focuses solely on developing new vaccines against tuberculosis and ensuring their availability to all who need them.",N	N,
896,,Aeras Global TB Vaccine Foundation,,,"Formally known as the Sequella Global Tuberculosis Foundation, now focuses solely on developing new vaccines against tuberculosis and ensuring their availability to all who need them.",90,Tuberculosis Basics (Updated)
